VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ID	DEDUP_SUFFIX	COMPOSITE_ID
080	000100	2022012	1000010000	00276464	45244782	Česká spořitelna, a.s.	Ú	Dům s pečovatelskými byty	CZK	1,92%	20151007	20300831	bez zajištění	7000000.00 	7000000.00 	3097025.00 	481554.40 	00276464-45244782-20151007-20300831-7000000		00276464-45244782-20151007-20300831-7000000
080	000100	2022012	1000010000	00276464	45244782	Česká spořitelna, a.s.	Ú	Nástavby a vestavby bytových domů	CZK	4,37%p.a.	20020910	20221031	zástavní právo k nemovitostem	5000000.00 	5000000.00 	5000000.00 	3451842.12 	00276464-45244782-20020910-20221031-5000000		00276464-45244782-20020910-20221031-5000000
080	000100	2022012	1000010000	00276464	45244782	Česká spořitelna, a.s.	Ú	Tělocvična při ZŠ Brněnec	CZK	1,48%	20200619	20411231	bez zajištění	25000000.00 	19047380.20 	1250004.00 	401815.85 	00276464-45244782-20200619-20411231-25000000		00276464-45244782-20200619-20411231-25000000
080	000100	2022012	1000010000	00276464	45244782	Česká spořitelna, a.s.	Ú	Výstavba 30 bytů nájemního bydlení	CZK	1,95% p.a.	20050815	20250831	zástavní právo k nemovitosti	12500000.00 	12500000.00 	9978692.58 	6589805.08 	00276464-45244782-20050815-20250831-12500000		00276464-45244782-20050815-20250831-12500000
080	000100	2022012	1000010000	00276464	45244782	Česká spořitelna, a.s.	Ú	Výstavba ČOV a kanalizace	CZK	2,50% p.a.	20140121	20281231	bez zajištění	15000000.00 	14830290.07 	9000000.00 	2384871.59 	00276464-45244782-20140121-20281231-15000000		00276464-45244782-20140121-20281231-15000000
080	000100	2022012	1000010005	00276839	45244782	Česká spořitelna, a.s.	Ú	financování Projektu (výstavba chodníků, komunikace atd.)	CZK	1,99	20200302	20321231	Bez ručení	5000000.00 	5000000.00 	774642.00 	202477.03 	00276839-45244782-20200302-20321231-5000000		00276839-45244782-20200302-20321231-5000000
080	000100	2022012	1000010145	00579564	45244782	Česká spořitelna, a.s.	Ú	výstavba větrné elektrárny	CZK	2,95	20070629	20220731	zástavní právo k nemovitosti	60571000.00 	60571000.00 	60571000.00 	16291333.60 	00579564-45244782-20070629-20220731-60571000		00579564-45244782-20070629-20220731-60571000
080	000100	2022012	1000010149	00277339	45244782	Česká spořitelna, a.s.	Ú	Financování projektu-výstavba infrakstruktury pro soubor rodinných domů v lokalitě Třemošná	CZK	1,28	20160324	20260331	Bez ručení	12000000.00 	9308903.68 	7783848.00 	280637.20 	00277339-45244782-20160324-20260331-12000000		00277339-45244782-20160324-20260331-12000000
080	000100	2022012	1000010149	00277339	45244782	Česká spořitelna, a.s.	Ú	Výstavba a rekonstrukce MŠ	CZK	1,99	20200318	20321231	Bez ručení	25000000.00 	25000000.00 	13383737.00 	246954.57 	00277339-45244782-20200318-20321231-25000000		00277339-45244782-20200318-20321231-25000000
080	000100	2022012	1000010151	00276766	45244782	Česká spořitelna, a.s.	Ú	Vestavba dvou BJ do objektu MŠ - Jarošov	CZK	2,1	20140314	20240331	bez ručení	1600000.00 	1460153.00 	1273865.03 	168545.43 	00276766-45244782-20140314-20240331-1600000		00276766-45244782-20140314-20240331-1600000
