VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2022012	1000014238	292788	111	Ladislav a Jana Lašákovi	Z	rozvoj obce	CZK	0	20050628	20250420	žádné	290000	290000	253750	0	Not Found					2022	00292788-00000111-20050628-20250420-290000	fdc7eb52-996b1f35	00292788-00000111-20050628-20250420-290000-fdc7eb52-996b1f35-2022	DEDUP_POPULATED
80	100	2022012	1000014238	292788	111	Pavel Sedlák	Z	rozvoj obce	CZK	0	20050628	20250420	žádné	290000	290000	253750	0	Not Found					2022	00292788-00000111-20050628-20250420-290000	9fd18fe8-996b1f35	00292788-00000111-20050628-20250420-290000-9fd18fe8-996b1f35-2022	DEDUP_POPULATED
80	100	2022012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení 1. máje 859-860/5 (ORG 2614/2750)	CZK	7,47	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1069860	1069860	523740	91912.54	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00296317-45317054-20150929-20300630-1069860	0baff4e5-06108f5b	00296317-45317054-20150929-20300630-1069860-0baff4e5-06108f5b-2022	DEDUP_POPULATED
80	100	2022012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení 1. máje 886/1,887/3 (ORG 2615/2751)	CZK	7,47	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1109740	1109740	542660	95285.31	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00296317-45317054-20150929-20300630-1109740	0baff4e5-4bb1a012	00296317-45317054-20150929-20300630-1109740-0baff4e5-4bb1a012-2022	DEDUP_POPULATED
80	100	2022012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Divadelní 357/4,356/6,358/8 (ORG 2619/2753)	CZK	7,47	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1069860	1069860	523740	95274.87	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00296317-45317054-20150929-20300630-1069860	0baff4e5-e208f321	00296317-45317054-20150929-20300630-1069860-0baff4e5-e208f321-2022	DEDUP_POPULATED
80	100	2022012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754)	CZK	7,47	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1109740	1109740	542660	95285.31	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00296317-45317054-20150929-20300630-1109740	0baff4e5-cb1dd39f	00296317-45317054-20150929-20300630-1109740-0baff4e5-cb1dd39f-2022	DEDUP_POPULATED
80	100	2022012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757)	CZK	7,47	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1268340	1268340	620060	108916.4	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00296317-45317054-20150929-20300630-1268340	0baff4e5-5a2f6e8f	00296317-45317054-20150929-20300630-1268340-0baff4e5-5a2f6e8f-2022	DEDUP_POPULATED
80	100	2022012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758)	CZK	7,47	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1268340	1268340	620060	108815.22	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00296317-45317054-20150929-20300630-1268340	0baff4e5-4a7f4b78	00296317-45317054-20150929-20300630-1268340-0baff4e5-4a7f4b78-2022	DEDUP_POPULATED
80	100	2022012	1000015191	297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - hala	CZK	2,67	20201209	20241208	0	408900.04	408900.04	193702.42	33514.51	RCI Financial Services, s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.	2022	00297054-25722328-20201209-20241208-408900	f06831d0-a515f1b0	00297054-25722328-20201209-20241208-408900-f06831d0-a515f1b0-2022	DEDUP_POPULATED
80	100	2022012	1000015191	297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - kanalizace	CZK	2,67	20201209	20241208	0	408900.04	408900.04	193702.42	33514.51	RCI Financial Services, s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.	2022	00297054-25722328-20201209-20241208-408900	f06831d0-a10b9b32	00297054-25722328-20201209-20241208-408900-f06831d0-a10b9b32-2022	DEDUP_POPULATED
