VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2024012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení 1. máje 859-860/5 (ORG 2614/2750), (6M PRIBOR+0,26% p.a.)	CZK	4.05	20150929	20300630	1	1069860	1069860	669900	156857.55	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00296317-45317054-20150929-20300630-1069860	0baff4e5-f3e2d92b	00296317-45317054-20150929-20300630-1069860-0baff4e5-f3e2d92b-2024	DEDUP_POPULATED
80	100	2024012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení 1. máje 886/1,887/3 (ORG 2615/2751), (6M PRIBOR+0,26% p.a.)	CZK	4.05	20150929	20300630	1	1109740	1109740	694100	162742.27	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00296317-45317054-20150929-20300630-1109740	0baff4e5-4280fb05	00296317-45317054-20150929-20300630-1109740-0baff4e5-4280fb05-2024	DEDUP_POPULATED
80	100	2024012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Divadelní 357/4,356/6,358/8 (ORG 2619/2753), (6M PRIBOR+0,26% p.a.)	CZK	4.05	20150929	20300630	1	1069860	1069860	669900	160219.87	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00296317-45317054-20150929-20300630-1069860	0baff4e5-92295b18	00296317-45317054-20150929-20300630-1069860-0baff4e5-92295b18-2024	DEDUP_POPULATED
80	100	2024012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754), (6M PRIBOR+0,26% p	CZK	4.05	20150929	20300630	1	1109740	1109740	694100	162742.27	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00296317-45317054-20150929-20300630-1109740	0baff4e5-7989aa45	00296317-45317054-20150929-20300630-1109740-0baff4e5-7989aa45-2024	DEDUP_POPULATED
80	100	2024012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757), (6M PRIBOR+0,26% p.a.)	CZK	4.05	20150929	20300630	1	1268340	1268340	793100	186037.48	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00296317-45317054-20150929-20300630-1268340	0baff4e5-c152a8f0	00296317-45317054-20150929-20300630-1268340-0baff4e5-c152a8f0-2024	DEDUP_POPULATED
80	100	2024012	1000015066	296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758), (6M PRIBOR+0,26% p.a.)	CZK	4.05	20150929	20300630	1	1268340	1268340	793100	185936.3	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00296317-45317054-20150929-20300630-1268340	0baff4e5-87a4cf7c	00296317-45317054-20150929-20300630-1268340-0baff4e5-87a4cf7c-2024	DEDUP_POPULATED
80	100	2024012	1000015191	297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - hala	CZK	2,67	20201209	20241208	1	408900.04	408900.04	408900.04	45533.76	RCI Financial Services, s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.	2024	00297054-25722328-20201209-20241208-408900	f06831d0-a515f1b0	00297054-25722328-20201209-20241208-408900-f06831d0-a515f1b0-2024	DEDUP_POPULATED
80	100	2024012	1000015191	297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - kanalizace	CZK	2,67	20201209	20241208	1	408900.04	408900.04	408900.04	45533.76	RCI Financial Services, s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.	2024	00297054-25722328-20201209-20241208-408900	f06831d0-a10b9b32	00297054-25722328-20201209-20241208-408900-f06831d0-a10b9b32-2024	DEDUP_POPULATED
80	100	2024012	1000016077	298654	45244782	Česká spořitelna, a.s.	Ú	investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa	CZK	6 M PRIBOR+přirážka 0,45% p.a.	20120426	20331231	1	9000000	9000000	9000000	78730.81	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00298654-45244782-20120426-20331231-9000000	1e97a56a-8eb55e42	00298654-45244782-20120426-20331231-9000000-1e97a56a-8eb55e42-2024	DEDUP_POPULATED
80	100	2024012	1000016077	298654	45244782	Česká spořitelna, a.s.	Ú	investiční úvěr-VODOVOD Bělkovice-Lašťany	CZK	6 M PRIBOR+přirážka 0,45% p.a.	20120426	20331231	1	9000000	9000000	9000000	78730.81	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00298654-45244782-20120426-20331231-9000000	1e97a56a-82816bbe	00298654-45244782-20120426-20331231-9000000-1e97a56a-82816bbe-2024	DEDUP_POPULATED
