VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
080	000100	2023012	1000016077	00298654	45244782	Česká spořitelna, a.s.	Ú	investiční úvěr-VODOVOD Bělkovice-Lašťany	CZK	6M PRIBOR + přirážka 0,45%p.a.	20120426	20331231	01	9000000.00 	9000000.00 	4500000.00 	372463.48 	2023	00298654-45244782-20120426-20331231-9000000	1e97a56a-82816bbe	00298654-45244782-20120426-20331231-9000000-1e97a56a-82816bbe-2023	DEDUP_POPULATED
080	000100	2023012	1000005737	00258806	45317054	Komerční banka, a.s.	Ú	kontokorent	CZK	5	20200101	20231231	10	0.00 	0.00 	0.00 	4094.00 	2023	00258806-45317054-20200101-20231231-0		00258806-45317054-20200101-20231231-0-2023	ZERO_LOAN
080	000100	2023012	1000005852	00259586	00000111	Bez úvěru	Ú	Bez úvěru	CZK	0	20231231	20231231	10	0.00 	0.00 	0.00 	0.00 	2023	00259586-00000111-20231231-20231231-0		00259586-00000111-20231231-20231231-0-2023	ZERO_LOAN
080	000100	2023012	1000013261	00288845	44848943	Národní rozvojová banka, a.s.	Ú	Revitalizace obce	CZK	0	20130722	20230714	01	0.00 	0.00 	0.00 	0.00 	2023	00288845-44848943-20130722-20230714-0		00288845-44848943-20130722-20230714-0-2023	ZERO_LOAN
080	000100	2023012	1000015152	00297046	00000111	Fyzická osoba	NFV	Nemáme	CZK	0	20240129	20240214	01	0.00 	0.00 	0.00 	0.00 	2023	00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	00297046-00000111-20240129-20240214-0-b0a0b448-ade922d4-2023	ZERO_LOAN
080	000100	2023012	1000015152	00297046	00000111	Fyzická osoba	Z	Nemáme	CZK	0	20240129	20240214	01	0.00 	0.00 	0.00 	0.00 	2023	00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	00297046-00000111-20240129-20240214-0-b0a0b448-ade922d4-2023	ZERO_LOAN
080	000100	2023012	1000015420	00297585	00000000		NFV	0000	CZK	0	20231231	20231231	01	0.00 	0.00 	0.00 	0.00 	2023	00297585-00000000-20231231-20231231-0	a3d2de76-4a7d1ed4	00297585-00000000-20231231-20231231-0-a3d2de76-4a7d1ed4-2023	ZERO_LOAN
080	000100	2023012	1000015420	00297585	00000000		Z	0000	CZK	0	20231231	20231231	01	0.00 	0.00 	0.00 	0.00 	2023	00297585-00000000-20231231-20231231-0	a3d2de76-4a7d1ed4	00297585-00000000-20231231-20231231-0-a3d2de76-4a7d1ed4-2023	ZERO_LOAN
080	000100	2023012	1000015435	00297658	00000000		NFV	0	CZK	0	20231231	20231231	01	0.00 	0.00 	0.00 	0.00 	2023	00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	00297658-00000000-20231231-20231231-0-a3d2de76-cfcd2084-2023	ZERO_LOAN
080	000100	2023012	1000015435	00297658	00000000		Z	0	CZK	0	20231231	20231231	01	0.00 	0.00 	0.00 	0.00 	2023	00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	00297658-00000000-20231231-20231231-0-a3d2de76-cfcd2084-2023	ZERO_LOAN
080	000100	2023012	1000017249	00304280	25672720	MONETA Money Bank, a.s.	Ú	revolvingový úvěr	CZK	2,19	20220412	20260219	03	0.00 	0.00 	0.00 	115916.16 	2023	00304280-25672720-20220412-20260219-0		00304280-25672720-20220412-20260219-0-2023	ZERO_LOAN
ZZZ		0000000		00000000							00000000	00000000		0.00 	0.00 	0.00 	5382.00 	2023	00000000-00000000-00000000-00000000-0		00000000-00000000-00000000-00000000-0-2023	ZERO_LOAN
080	000100	2023012	1000008001	00579874	45317054	Komerční banka, a.s.	Ú	kanalizace a ČOV	CZK	2,39	20210610	20280531	01	5000000.00 	5000000.00 	793650.00 	203529.37 	2023	00579874-45317054-20210610-20280531-5000000		00579874-45317054-20210610-20280531-5000000-2023	CROSS_REMOVED
