VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
080	000100	2021012	1000015435	00297658	00000000		NFV	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00297658-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297658-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015435	00297658	00000000		Z	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00297658-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297658-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015436	00562424	00000000		NFV	0000	CZK	20211231	20211231	0	0.00 	0.00 	0.00 	0.00 	2021	00562424-00000000-20211231-20211231-0	a3d2de76-4a7d1ed4	00562424-00000000-20211231-20211231-0-a3d2de76-4a7d1ed4-2021	ZERO_LOAN
080	000100	2021012	1000015436	00562424	00000000		Z	0000	CZK	20211231	20211231	0	0.00 	0.00 	0.00 	0.00 	2021	00562424-00000000-20211231-20211231-0	a3d2de76-4a7d1ed4	00562424-00000000-20211231-20211231-0-a3d2de76-4a7d1ed4-2021	ZERO_LOAN
080	000100	2021012	1000015436	00562424	00000000		Ú	0000	CZK	20211231	20211231	0	0.00 	0.00 	0.00 	0.00 	2021	00562424-00000000-20211231-20211231-0	a3d2de76-4a7d1ed4	00562424-00000000-20211231-20211231-0-a3d2de76-4a7d1ed4-2021	ZERO_LOAN
080	000100	2021012	1000016157	00300713	00000000		NFV	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00300713-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00300713-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016157	00300713	00000000		Z	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00300713-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00300713-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016157	00300713	00000000		Ú	0	CZK	20211231	20211231	Bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00300713-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00300713-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016178	00635529	00000000		NFV	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00635529-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00635529-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016178	00635529	00000000		Z	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00635529-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00635529-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016191	00849979	00000000		NFV	0	CZK	20211231	20211231	nepožadováno	0.00 	0.00 	0.00 	0.00 	2021	00849979-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00849979-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016191	00849979	00000000		Z	0	CZK	20211231	20211231	nepožadováno	0.00 	0.00 	0.00 	0.00 	2021	00849979-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00849979-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000016191	00849979	00000000		Ú	0	CZK	20211231	20211231	nepožadováno	0.00 	0.00 	0.00 	0.00 	2021	00849979-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00849979-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
ZZZ		0000000		00000000						00000000	00000000		0.00 	0.00 	0.00 	5796.00 	2021	00000000-00000000-00000000-00000000-0		00000000-00000000-00000000-00000000-0-2021	ZERO_LOAN
