"""""""Výkaz""""""ZC_VYKAZ:ZC_VYKAZ";"""""""Tabulka výkazu""""""ZC_VTAB:ZC_VTAB";"""""""Fiskální období""""""0FISCPER:0FISCPER";"""""""Účetní jednotka""""""ZC_UCJED:ZC_UCJED";"""""""IČO""""""ZC_ICO:ZC_ICO";"""""""IČO poskytovatele""""""/BIC/ZC_PARTP:ZC_PARTP";"""""""Název poskytovatele""""""/BIC/ZC_NAZPOS:ZC_NAZPOS";"""""""Určení""""""/BIC/ZC_URCN:ZC_URCN";"""""""Účel""""""/BIC/ZC_UCFP:ZC_UCFP";"""""""Kód měny""""""CURRENCY:0CURRENCY";"""""""Úroková sazba v %""""""/BIC/ZC_URSA:ZC_URSA";"""""""Okamžik uzavření smlouvy""""""/BIC/ZC_DATUS:ZC_DATUS";"""""""Termín splatnosti""""""/BIC/ZC_TERSPL:ZC_TERSPL";"""""""Způsob ručení""""""/BIC/ZC_ZPRUC:ZC_ZPRUC";"""""""Sjednaná výše U/Z/NFV""""""KYF_0002:ZU_VYUV";"""""""Čerpaná výše U/Z/NVF""""""KYF_0004:ZU_CEUV";"""""""Splacená výše jistiny U/Z/NFV""""""KYF_0006:ZU_SPJUV";"""""""Výše zaplacených úroků a poplatků""""""KYF_0008:ZU_ZAPUP"
080;000100;2024012;1000000289;00233072;45244782;Česká spořitelna, a.s.;Ú;Nákup CAS,Vodovod,posílení vod.zdrojů a  rozš.akumulace;CZK;1,61;20180109;20251120;01;9500000.00 ;8751394.00 ;8400000.00 ;480525.70 
080;000100;2024012;1000000297;00473421;45244782;Česká spořitelna, a.s.;Ú;rekonstrukce úřadu;CZK;3,90;20160715;20350825;10;1000000.00 ;1000000.00 ;912000.00 ;69213.80 
080;000100;2024012;1000000303;00473481;45244782;Česká spořitelna, a.s.;Ú;nákup pozemků;CZK;PRIBOR6-M+0,15%P.A.;20211123;20351210;01;7174150.00 ;7174150.00 ;1432150.00 ;838790.00 
080;000100;2024012;1000000309;00473545;45317054;Komerční banka, a.s.;Ú;refinancování  stávajícího úvěru;CZK;2,38;20200330;20400430;01;11382000.00 ;11382000.00 ;2703225.00 ;1204207.20 
080;000100;2024012;1000000316;00508390;45244782;Česká spořitelna, a.s.;Ú;financování Projektu, vč. souvysejících výdajů;CZK;4,57;20230421;20421120;01;12000000.00 ;12000000.00 ;636000.00 ;544234.32 
080;000100;2024012;1000000318;00508411;45244782;Česká spořitelna, a.s.;Ú;Obnova vnitř.prostor budovy OÚ Popovice;CZK;Pribor;20240328;20281220;01;3000000.00 ;3000000.00 ;336000.00 ;74221.36 
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Dětzské hřiště;CZK;1M pribor + marže;20210224;20261229;01;743109.00 ;687173.86 ;412308.00 ;1041909.98 
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Oprava kamenného křížku Veteránů;CZK;1M pribor + marža;20191014;20260126;01;380500.00 ;380439.00 ;350755.00 ;24470.47 
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Protipovodňová opatření;CZK;1M pribor + marže;20191014;20250925;01;1429000.00 ;1429000.00 ;1389119.00 ;34541.58 
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Stavební úpravy prodejna;CZK;1M pribor + marže;20210224;20360225;01;3442000.00 ;3407217.66 ;1136400.00 ;38914.91 
