VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
080	000100	2021012	1000014571	00295043	45244782	Česká spořitelna, a.s.	Ú	splácení dluhu klienta	CZK	20170228	20220331	bez zajištění	28000000.00 	2790000.00 	2652642.00 	0.00 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014573	00295205	45244782	Česká spořitelna, a.s.	Ú	"Financování projektu ""Obytný soubor 14RD za Cihelnou"""	CZK	20200302	20321231	Peněžité dluhy obce dle smlouvy o úvěru nejsou zajištěny žádnými zajišťovacími prostředky.	15000000.00 	14541015.78 	1056340.00 	384794.79 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014573	00295205	45244782	Česká spořitelna, a.s.	Ú	Financování splácení podílu obce na dluhu svazku Čistá voda-Radešínská Svratka, Řečice	CZK	20151214	20230930	Peněžité dluhy obce dle smlouvy o úvěru nejsou zajištěny žádnými zajišťovacími prostředky.	8000000.00 	7942500.00 	6193584.00 	247774.10 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014574	00295248	00001350	Československá obchodní banka, a. s.	Ú	Difinancování projektu Stavební úpravy ZŠ a MŠ Radostín nad Oslavou a vybavení učeben	CZK	20180822	20260921	Peněžní prostředky poskytnuty bez zajištění.	7000000.00 	7000000.00 	2254500.00 	305681.77 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014574	00295248	00001350	Československá obchodní banka, a. s.	Ú	Koupě nemovitostí	CZK	20171130	20271220	Peněžní prostředky postynuty bez zajištění	2235000.00 	2234975.00 	2234975.00 	109141.86 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014574	00295248	00001350	Československá obchodní banka, a. s.	Ú	Předfinancování dotace z OPŽP na projekt Výstavba sběrného dvora Radostín nad Oslavou	CZK	20210826	20231229	Bez zajištění	8250000.00 	8032891.66 	0.00 	22767.21 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014576	00295329	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	nový traktorový návěs včetně příslušenství	CZK	20210504	20231130	zástavním právem k pohledávkám, zajišťovacím převodem vlastnického práva	436000.00 	436000.00 	249142.00 	1909.30 	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014577	00295353	45244782	Česká spořitelna, a.s.	Ú	Bytový dům Na Podkově v obci Řečice	CZK	20160829	20310831	Bez ručení	10000000.00 	10000000.00 	2516163.00 	220638.69 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014577	00295353	45244782	Česká spořitelna, a.s.	Ú	Financování splacení podílu na dluhu Svazku DSO Čistá voda	CZK	20151214	20230930	Bez ručení	8000000.00 	7942500.00 	6193584.00 	240572.60 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014578	00295400	45317054	Komerční banka, a.s.	Ú	Vodovod,kanalizace a ČOV Sklené n.Osl.	CZK	20160428	20260331	Nesjednáno	9000000.00 	9000000.00 	4865100.00 	238320.00 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
