ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00231886-45244782-20191111-20381220-15000000		2022 + 2023 + 2024	15000000	15000000.00 	15000000.00 	15000000.00 	1,82	1,82	1,82	FIXED	FIXED_NOSTRING	financování projektu výstavba vodovodu	financování projektu	financování projektu
00232009-45244782-20240201-20431220-30000000		2024	30000000			21943938.47 			3,48	FIXED	FIXED_NOSTRING			Splašková kanalizace a ČOV
00232025-00020729-20220322-20321231-401619		2023 + 2024	401619		401619.30 	401619.30 		0,45	0,45	FIXED	FIXED_NOSTRING		pořízení centrální vzduchotechniky do ZŠ	Pořízení centrální vzduchotechniky do ZŠ
00232025-00020729-20220322-20321231-6473081		2022 + 2023 + 2024	6473081	4808500.22 	6473081.50 	6473081.50 	0,45	0,45	0,45	FIXED	FIXED_NOSTRING	posílení vlastních zdrojů - předfinancování výdajů OP ŽP (EU dotace)	zateplení,výměna zdroje tepla v ZŠ	Zateplení, výměna zdroje tepla v ZŠ
00232131-64948242-20200723-20371231-15000000		2022 + 2023 + 2024	15000000	15000000.00 	15000000.00 	15000000.00 	1,99	1,99	1,99	FIXED	FIXED_NOSTRING	vodovod/kanalizace	vodovod/kanalizace	vodovod/kanalizace
00232131-64948242-20220711-20371231-5000000		2022 + 2023 + 2024	5000000	5000000.00 	5000000.00 	5000000.00 	1M PRIBOR + 1%	1M PRIBOR + 1%	1M PRIBOR + 1%	FIXED	VARIABLE_STRING	vodovod/kanalizace	vodovod/kanalizace	vodovod/kanalizace
00232173-45317054-20131216-20361120-15000000		2022 + 2024	15000000	15000000.00 		15000000.00 	0,20 6M PRIBOR		0,20 6M PRIBOR	FIXED	VARIABLE_STRING	Louňovice pod Blaníkem-kanalizace a ČOV		Louňovice pod Blaníkem-kanalizace a ČOV
00232173-45317054-20131216-20361120-150000000		2023	150000000		15000000.00 			0,20 6M PRIBOR		FIXED	VARIABLE_STRING		Louňovice pod Blaníkem-kanalizace a ČOV	
00232181-45244782-20170510-20311220-16000000		2022 + 2023 + 2024	16000000	16000000.00 	16000000.00 	16000000.00 	0,84	0,84	0,84	FIXED	FIXED_NOSTRING	Městys Maršovice-splašková kanalizace a ČOV	Městys Maršovice-splašková kanalizace a ČOV	Městys Maršovice-splašková kanalizace a ČOV
00232220-45317054-20200608-20340731-12209372		2022 + 2023 + 2024	12209372	12209372.00 	12209372.00 	12209372.00 	1,99	1,99	1,99	FIXED	FIXED_NOSTRING	Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048	Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048	Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048
