ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00292940-45317054-20141003-20301225-10000000		2022 + 2023 + 2024	10000000	10000000.00 	10000000.00 	10000000.00 	0,55	0,55	7,82	VARIABLE	FIXED_NOSTRING	vybudování splaškové kanalizace	vybudování splaškové kanalizace	vybudování splaškové kanalizace
00292940-45671745-20141103-20221231-1000000		2022	1000000	1000000.00 			0			FIXED	FIXED_NOSTRING	vybudování splaškové kanalizace		
00292982-45317054-20150918-20250831-6000000		2022 + 2023 + 2024	6000000	6000000.00 	6000000.00 	6000000.00 	1,5	1,5	1,5	FIXED	FIXED_NOSTRING	rekonstrukce místních komunikací	rekonstrukce místních komunikací	rekonstrukce místních komunikací
00292982-45671745-20141221-20221221-1333000		2022	1333000	1333000.00 			0			FIXED	FIXED_NOSTRING	Odkanalizování II.etapa		
00292982-45671745-20241001-20301231-1000000		2024	1000000			1000000.00 			0	FIXED	FIXED_NOSTRING			zkapacitnění kanalizační čerpací stanice ČS 02
00293083-00020729-20130903-20240930-2480000		2022 + 2023 + 2024	2480000	2398881.52 	2398881.52 	2398881.52 	1	1	1	FIXED	FIXED_NOSTRING	Výstavba kanalizace a ČOV	Výstavba kanalizace a ČOV	Výstavba kanalizace a ČOV
00293083-63998980-20190503-20230506-525382		2022 + 2023	525382	525382.00 	525382.00 		3,8	3,8		FIXED	FIXED_NOSTRING	nákup komunální techniky	nákup komunální techniky	
00293083-63998980-20190605-20230630-143143		2022 + 2023	143143	143143.00 	143143.00 		3,5	3,5		FIXED	FIXED_NOSTRING	nákup komunální techniky	nákup komunální techniky	
00293121-45671745-20240531-20281231-2000000		2024	2000000			2000000.00 			0	FIXED	FIXED_NOSTRING			Financování výstavby vodovodu a kanalizace lokalita Pšeničná
00293148-00001350-20140604-20340531-20500000		2022 + 2023 + 2024	20500000	20500000.00 	20500000.00 	20500000.00 	2,39	2,39	2,39	FIXED	FIXED_NOSTRING	ČOV/kanalizace výstavba	ČOV/kanalizace výstavba	ČOV/kanalizace výstavba
00293148-00020729-20141124-20251231-2155482		2022 + 2023 + 2024	2155482	2155482.54 	2155482.54 	2155482.54 	1	1	1	FIXED	FIXED_NOSTRING	ČOV/kanalizace výstavba	ČOV/kanalizace výstavba	ČOV/kanalizace výstavba
00293164-45317054-20180826-20270831-20000000		2022 + 2023 + 2024	20000000	20000000.00 	20000000.00 	20000000.00 	1,76	1,76	1,76	FIXED	FIXED_NOSTRING	financování investičních akcí města	financování investičních akcí města	financování investičních akcí města
00293164-45317054-20210707-20310831-30000000		2022 + 2023 + 2024	30000000	0.00 	0.00 	0.00 	7,35	6,86	4	VARIABLE	FIXED_NOSTRING	financování investičních akcí města	financování investičních akcí města	financování investičních akcí města
00293199-45244782-20131002-20221231-34250175		2022	34250175	34250175.48 			2,03 % p.a.			FIXED	FIXED_NOSTRING	refinancování hypotečního úvěru		
00293199-45244782-20190923-20231231-94228000		2022	94228000	10700000.00 			3M pribor + 0,02 % p.a.			FIXED	VARIABLE_STRING	předfinancování dotace		
00293199-45317054-20021111-20221125-2250000		2022	2250000	2250000.00 			3,70 % p.a.			FIXED	FIXED_NOSTRING	hypoteční úvěr		
00293199-45317054-20150921-20221231-13400000		2022	13400000	13400000.00 			3M pribor + 0,1 % p.a.			FIXED	VARIABLE_STRING	koupě nemovitosti - zámek Moravský Krumlov		
00293199-45317054-20201221-20321231-70000000		2022 + 2023 + 2024	70000000	14716685.65 	32201885.65 	32201885.65 	3M pribor + 0,11 % p.a.	3M pribor + 0,11 % p.a.	3M pribor + 0,11 % p.a.	FIXED	VARIABLE_STRING	financování investičních akcí města	financování investičních akcí města	financování investičních akcí města
00293270-45671745-20150107-20221231-1000000		2022	1000000	1000000.00 			0			FIXED	FIXED_NOSTRING	výstavba kanalizace		
00293318-45244782-20160623-20360530-14891654		2022 + 2023 + 2024	14891654	14891654.00 	14891654.00 	14891654.00 	1,89	1,89	1,89	FIXED	FIXED_NOSTRING	Formanská cesta - splašková kanalizace a ČOV	Formanská cesta - splašková kanalizace a ČOV	Formanská cesta - splašková kanalizace a ČOV
00293326-45244782-20140924-20301225-13000000		2022 + 2023 + 2024	13000000	13000000.00 	13000000.00 	13000000.00 	1 M PRIBOR + 0,87 %  ročně	1 M PRIBOR + 0,87 % ročně	1M PRIBOR + 0,87 % ročně	VARIABLE	VARIABLE_STRING	kanalizace	kanalizace	kanalizace
00293326-45244782-20211025-20230731-3500000		2022	3500000	3500000.00 			1 M PRIBOR + 0,60 % ročně			FIXED	VARIABLE_STRING	polní cesta Chmelinka		
00293512-45317054-20170529-20240531-7000000		2022 + 2023 + 2024	7000000	4012851.08 	4012851.08 	4012851.08 	1M PRIBOR+0,15% p.a.	1M PRIBOR +0,15% p.a.	1MPRIBOR+0,15%p.a.	VARIABLE	VARIABLE_STRING	výstavba kanalizace a ČOV	výstavba kanalizace a ČOV	výstavba kanalizace a ČOV
00293571-45317054-20160926-20240630-13200000		2022 + 2023 + 2024	13200000	13200000.00 	13200000.00 	13200000.00 	0,39	0,39	0,39	FIXED	FIXED_NOSTRING	refinancování současného úvěru u ČS a.s.	refinancování současného úvěru u ČS a.s.	refinancování současného úvěru u ČS a.s.
00293571-45317054-20170927-20281231-12000000		2022 + 2023 + 2024	12000000	12000000.00 	12000000.00 	12000000.00 	0,99	0,99	0,99	FIXED	FIXED_NOSTRING	"spolufinancování projektu Technická infrastruktura ""UTrati"" a oprava místních komunikací"	"spolufinancování projektu Technická infrastruktura ""UTrati"" a oprava místních komunikací"	"spolufinancování projektu Technická infrastruktura ""UTrati"" a oprava místních komunikací"
00293571-45317054-20211026-20360630-21648000		2022 + 2023 + 2024	21648000	12181329.01 	21648000.00 	21648000.00 	2,66	2,66	2,66	FIXED	FIXED_NOSTRING	profinancování investičních akcí - místní komunikace, mobiliář, kanalizace, tělocvična, rybník	profinancování investičních akcí - místní komunikace, mobiliář, kanalizace, tělocvična, rybník	profinancování investičních akcí - místní komunikace, mobiliář, kanalizace, tělocvična, rybník
00293571-45317054-20211026-20360630-8352000		2022 + 2023 + 2024	8352000	8352000.00 	8352000.00 	8352000.00 	2,68	2,68	2,68	FIXED	FIXED_NOSTRING	refundace - investiční akce realizované v r. 2020 a 2021	refundace - investiční akce realizované v r. 2020 a 2021	refundace - investiční akce realizované v r. 2020 a 2021
00293571-49241494-20231016-20241018-2189970		2023 + 2024	2189970		2189970.00 	2189970.00 		6,50	6,5	FIXED	FIXED_NOSTRING		nákup traktoru a nosiče kontejnerů	nákup traktoru a nosiče kontejnerů
00293580-00001350-20200214-20300425-7475000		2022 + 2023 + 2024	7475000	7475000.00 	7475000.00 	7475000.00 	1,62	1,62	1,62	FIXED	FIXED_NOSTRING	nákup pozemků pro výstavbu domů	nákup pozemků pro výstavbu domů	nákup pozemků pro výstavbu domů
00293580-00001350-20201016-20310725-6500000		2022 + 2023 + 2024	6500000	6500000.00 	6500000.00 	6500000.00 	0,95	0,95	0,95	FIXED	FIXED_NOSTRING	Inženýrské sítě stavební pozemky	Inženýrské sítě stavební pozemky	Inženýrské sítě stavební pozemky
00293580-45317054-20141208-20241130-4000000		2022	4000000	4000000.00 			1M PRIBOR +1,24			FIXED	VARIABLE_STRING	rekonstrukce místních komunikací		
00293580-45317054-20170713-20230630-3000000		2022	3000000	3000000.00 			1M PRIBOR + 0,19			FIXED	VARIABLE_STRING	Zateplení Kulturního domu		
00293598-45244782-20121205-20230331-2000000		2022	2000000	1918329.00 			1,55			FIXED	FIXED_NOSTRING	projekt rekonstrukce budovy ZŠ		
00293679-45244782-20140804-20251231-7000000		2022 + 2023 + 2024	7000000	7000000.00 	7000000.00 	7000000.00 	2,2	2,2	2,2	FIXED	FIXED_NOSTRING	Výstavba kanalizace a ČOV v obci Trstěnice	Výstavba kanalizace a ČOV v obci Trstěnice	Výstavba kanalizace a ČOV v obci Trstěnice
00293709-25722328-20201116-20231115-191055		2022 + 2023	191055	191054.53 	191054.53 		3,0622	3,0622		FIXED	FIXED_NOSTRING	Koupě služebního automobilu	Koupě služebního automobilu	
00293709-45244782-20170830-20290731-8625000		2022 + 2023 + 2024	8625000	8625000.00 	8625000.00 	8625000.00 	0,92	0,92	0,92	FIXED	FIXED_NOSTRING	ČOV a splašková kanalizace	ČOV a splašková kanalizace	ČOV a splašková kanalizace
00293709-45317054-20210708-20360531-15000000		2022 + 2023 + 2024	15000000	14936557.59 	14936557.59 	14936557.59 	2,47	2,47	2,47	FIXED	FIXED_NOSTRING	Dešťová kanalizace, chodníky	Dešťová kanalizace, chodníky	Dešťová kanalizace, chodníky
00293709-45317054-20240912-20290930-3000000		2024	3000000			2834032.50 			4,7	FIXED	FIXED_NOSTRING			Požární cisternové vozidlo
00293741-45244782-20120618-20290131-5000000		2022 + 2023 + 2024	5000000	5000000.00 	5000000.00 	5000000.00 	8,76	8,44	5,7	VARIABLE	FIXED_NOSTRING	inovace vodovodu	inovace vodovodu	inovace vodovodu
00293741-45244782-20230913-20300228-5500000		2023 + 2024	5500000		0.00 	5174606.63 		4,15	4,15	FIXED	FIXED_NOSTRING		hasičská zbrojnice	hasičská zbrojnice
00293741-45244782-20240520-20360331-11000000		2024	11000000			8220739.22 			4,35	FIXED	FIXED_NOSTRING			MŠ-dětská skupina
00293784-45244782-20130718-20220531-5000000		2022	5000000	5000000.00 			2,15			FIXED	FIXED_NOSTRING	zateplení ZŠ		
00293784-45244782-20181010-20241031-5000000		2024	5000000			5000000.00 			2,15	FIXED	FIXED_NOSTRING			financování projektů -VO,rozhlas,dětské hřiště ,vytápění hasičské zbrojnice,Biocentrum,komunikace
00293784-45244782-20181010-20241130-5000000		2022 + 2023	5000000	5000000.00 	5000000.00 		2,15	2,15		FIXED	FIXED_NOSTRING	fin.projektů- VO,rozhlas,dětské hřiště,vytápění has.zbrojnice,Biocentrum, komunikace, šk.hřiště	financování projektů-VO,rozhlas,dětské hřiště,vytápění hasičské zbrojnice, , Biocentrum, komunikace,	
00293806-45244782-20150916-20251225-3442808		2022 + 2023 + 2024	3442808	3272111.55 	3272111.55 	3272111.55 	3M pribor + 0,29%	3M pribor+0,29%	3M pribor+0,29%	VARIABLE	VARIABLE_STRING	rekonstrukce místní komunikace v ulici Junácké údolí	rekonstrukce místní komunikace v ulici Junácké údolí	rekonstrukce místní komunikace v ulici Junácké údolí
00293806-45244782-20210915-20370331-6000000		2022 + 2023 + 2024	6000000	3463096.71 	3463096.71 	3463096.71 	1,84	1,84	1,84	FIXED	FIXED_NOSTRING	rekonstrukce obecních bytů v bytovém domě čp. 84	rekonstrukce obecních bytů v bytovém domě čp. 84	rekonstrukce obecních bytů v bytovém domě čp. 84
00293806-45244782-20210915-20471031-16000000		2022 + 2023 + 2024	16000000	16000000.00 	16000000.00 	16000000.00 	2,03	2,03	2,03	FIXED	FIXED_NOSTRING	úpravy objektu čp.165 na obecní dům	úpravy objektu čp.165 na obecní dům	úpravy objektu čp.165 na obecní dům
00293881-45317054-20110916-20311231-300000000		2022 + 2023 + 2024	300000000	300000000.00 	300000000.00 	300000000.00 	3M PRIBOR + 0,74% p.a.	3M PRIBOR + 0,74% p.a.	3M PRIBOR + 0,74% p.a.	FIXED	VARIABLE_STRING	Refinancování revolvingového úvěru	Refinancování revolvingového úvěru	Refinancování revolvingového úvěru
00293881-45317054-20210922-20421231-275000000		2022 + 2023 + 2024	275000000	190265715.00 	275000000.00 	275000000.00 	2,33%	2,33%	2,33%	FIXED	FIXED_NOSTRING	Financování investic města Znojma - výstavba krytého bazénu Znojmo -Louka	Financování investic města Znojma - výstavba krytého bazénu Znojmo -Louka	Financování investic města Znojma - výstavba krytého bazénu Znojmo -Louka
00293971-00001350-20121119-20271020-15000000		2023 + 2024	15000000		15000000.00 	15000000.00 		1,50	1,50	FIXED	FIXED_NOSTRING		Výstavba čističky odpadních vod	Výstavba čističky odpadních vod
00293971-00001350-20221119-20271020-15000000		2022	15000000	15000000.00 			1,50			FIXED	FIXED_NOSTRING	Výstavba čističky odpadních vod		
00294004-45244782-20150324-20250331-11000000		2022 + 2023 + 2024	11000000	10936343.00 	10936343.00 	10936343.00 	2,09	5,73	5,73	VARIABLE	FIXED_NOSTRING	stavební úpravy interiéru budovy včetně projekčních a inženýrských činností a zpevnění plochy	stavební úpravy interiéru budovy včetně projekčních a inženýrských činností a zpevnění plochy	stavební úpravy interiéru budovy včetně projekčních a inženýrských činností a zpevnění plochy
00294021-61061344-20220502-20270615-1692790		2022 + 2023 + 2024	1692790	1692790.00 	1692790.00 	1692790.00 	2,6455 p.a.	2,6455 p.a.	2,6455 p.a.	FIXED	FIXED_NOSTRING	finacování nákupu traktoru KIOTI DK6020	finacování nákupu traktoru KIOTI DK6020	finacování nákupu traktoru KIOTI DK6020
00294055-25083325-20080829-20231231-2900000		2022	2900000	2900000.00 			3M PRIBOR + 1% p.a.			FIXED	VARIABLE_STRING	nákup pozemků		
00294055-25083325-20080930-20231231-4000000		2022	4000000	4000000.00 			3M PRIBOR + 1% p.a.			FIXED	VARIABLE_STRING	inženýrské sítě		
00294055-25083325-20120423-20241231-11500000		2022	11500000	11500000.00 			3M PRIBOR + 0,79% p.a.			FIXED	VARIABLE_STRING	ČOV a kanalizace		
00294055-25083325-20131009-20221231-1850000		2022	1850000	1850000.00 			12M PRIBOR + 1,2% p.a.			FIXED	VARIABLE_STRING	Energetické úspory		
00294055-25083325-20141127-20230930-3500000		2022	3500000	3500000.00 			12M PRIBOR + 1,38 p.a.			FIXED	VARIABLE_STRING	Mateřská škola		
00294055-25083325-20151026-20231231-1500000		2022	1500000	1500000.00 			3M PRIBOR + 1,68% p.a.			FIXED	VARIABLE_STRING	Místní komunikace		
00294055-45244782-20080829-20231231-2900000		2023	2900000		2900000.00 			3M PRIBOR + 1% p.a.		FIXED	VARIABLE_STRING		nákup pozemků	
00294055-45244782-20080930-20231231-4000000		2023	4000000		4000000.00 			3M PRIBOR + 1% p.a.		FIXED	VARIABLE_STRING		inženýrské sítě	
00294055-45244782-20120423-20241231-11500000		2023 + 2024	11500000		11500000.00 	11500000.00 		3M PRIBOR + 0,79% p.a.	3,96%	VARIABLE	VARIABLE_STRING		ČOV a kanalizace	ČOV a kanalizace
00294055-45244782-20140505-20301201-8000000		2022 + 2023 + 2024	8000000	8000000.00 	8000000.00 	8000000.00 	1M PRIBOR + 0,88% p.a.	1M PRIBOR + 0,88% p.a.	3,96%	VARIABLE	VARIABLE_STRING	Vodovod	Vodovod	Vodovod
00294055-45244782-20141127-20230930-3500000		2023	3500000		3500000.00 			12M PRIBOR + 1,38 p.a.		FIXED	VARIABLE_STRING		Mateřská škola	
00294055-45244782-20150824-20250630-2000000		2022 + 2023 + 2024	2000000	2000000.00 	2000000.00 	2000000.00 	1,1% p.a.	1,1% p.a.	3,96%	VARIABLE	FIXED_NOSTRING	Místní komunikace	Místní komunikace	Místní komunikace
00294055-45244782-20151026-20231231-1500000		2023	1500000		1500000.00 			3M PRIBOR + 1,68% p.a.		FIXED	VARIABLE_STRING		Místní komunikace	
00294055-45244782-20220818-20230731-2300000		2022	2300000	656379.76 			1M PRIBOR + 0,69%			FIXED	VARIABLE_STRING	Kontokorent		
00294055-45244782-20220818-20230831-2000000		2022	2000000	1960831.40 			3M PRIBOR + 0,39 p.a.			FIXED	VARIABLE_STRING	Konektivita ZŠ		
00294055-45244782-20230727-20240731-2300000		2023	2300000		995821.93 			1M PRIBOR + 0,69		FIXED	VARIABLE_STRING		Kontokorent	
00294055-45244782-20240619-20250731-3800000		2024	3800000			1700724.81 			1M PRIBOR + 0,69	FIXED	VARIABLE_STRING			Kontokorent
00294136-45317054-20141222-20251231-50000000		2022 + 2023 + 2024	50000000	50000000.00 	50000000.00 	50000000.00 	2,3	2,3	2,3	FIXED	FIXED_NOSTRING	zateplení bytových domů	zateplení bytových domů	zateplení bytových domů
00294233-00599328-20230710-20250831-4000000		2023 + 2024	4000000		4000000.00 	4000000.00 		5	5	FIXED	FIXED_NOSTRING		Vybudování kotelen	Vybudování kotelen
00294268-45244782-20170920-20241231-8000000		2022 + 2023 + 2024	8000000	6825537.03 	6825537.03 	6825537.03 	0,79	0,79	0,79	FIXED	FIXED_NOSTRING	Nákup pozemku a nemovitostí	Nákup pozemku a nemovitostí	Nákup pozemku a nemovitostí
00294268-45317054-20220525-20280831-3982140		2022 + 2023 + 2024	3982140	3982140.00 	3982140.00 	3982140.00 	4,60	4,60	4,60	FIXED	FIXED_NOSTRING	Nákup Cisternové automobilové stříkačky	Nákup Cisternové automobilové stříkačky	Nákup Cisternové automobilové stříkačky
00294306-00001350-20220331-20430630-15000000		2023 + 2024	15000000		8507643.02 	15000000.00 		3,21	3,21	FIXED	FIXED_NOSTRING		Financování rekonstrukce domu č.p. 91 Herálec	Financování rekonstrukce domu č.p. 91 Herálec
00294471-45244782-20151218-20261130-7000000		2022 + 2023 + 2024	7000000	7000000.00 	7000000.00 	7000000.00 	0,9	0,9	0,9	FIXED	FIXED_NOSTRING	kanalizace,rekonstr.pož.zbrojnice,financování nákupu pozemku	kanalizace,rekonstr.pož.zbrojnice,financování nákupu pozemku	kanalizace,rekonstr.pož.zbrojnice,financování nákupu pozemku
00294799-00001350-20150526-20261030-33000000		2024	33000000			33000000.00 			5,64%	FIXED	FIXED_NOSTRING			Financování rekonstrukce Kulturniho domu Měřín včetně souvisejících služeb a vybavení
00294799-00001350-20150526-20270430-33000000		2022 + 2023	33000000	33000000.00 	33000000.00 		1M PRIBOR+0,20%marže	5,64%		VARIABLE	VARIABLE_STRING	Financování rekonstrukce Kulturniho domu Měřín včetně souvisejících služeb a vybavení	Financování rekonstrukce Kulturniho domu Měřín včetně souvisejících služeb a vybavení	
00294799-00001350-20161109-20230731-3000000		2023	3000000		2391424.08 			1M PRIBOR+0,20%marže		FIXED	VARIABLE_STRING		Financování víceprací u investiční akce rekonstrukce Kulturního domu Měřín	
00294799-00001350-20161109-20270430-3000000		2022	3000000	2391424.08 			1M PRIBOR+0,20%marže			FIXED	VARIABLE_STRING	Financování víceprací u investiční akce rekonstrukce Kulturního domu Měřín		
00294799-00001350-20210505-20321231-28000000		2024	28000000			28000000.00 			3,54%  p.a.	FIXED	FIXED_NOSTRING			"Financování akce ""Městys Měřín - Dopravní terminál"" a dalších investičních akcí v letech 2021 - 2022"
00294799-00001350-20210505-20331230-28000000		2022 + 2023	28000000	28000000.00 	28000000.00 		3,54%  p.a.	3,54%  p.a.		FIXED	FIXED_NOSTRING	"Financování akce ""Městys Měřín - Dopravní terminál"" a dalších investičních akcí v letech 2021 - 2022"	"Financování akce ""Městys Měřín - Dopravní terminál"" a dalších investičních akcí v letech 2021 - 2022"	
00294829-49241494-20231016-20241220-586000		2024	586000			586000.00 			pohyblivá	FIXED	VARIABLE_STRING			Pořízení investice - Traktorový nosič kontejnerů Portýr+ kontejner 8m3 + konterjner 11,5m3
00294829-49241494-20231016-20241221-586000		2023	586000		586000.00 			pohyblivá		FIXED	VARIABLE_STRING		Pořízení investice - Traktorový nosič kontejnerů Portýr+ kontejner 8m3 + konterjner 11,5m3	
00294977-49241494-20231016-20250920-1094000		2023 + 2024	1094000		1094000.00 	1094000.00 		7,43	4,96	VARIABLE	FIXED_NOSTRING		Traktor LS+vlek Ravenna	Traktor LS+vlek Ravenna
00295043-45244782-20170228-20220331-28000000		2022	28000000	2790000.00 			0,75			FIXED	FIXED_NOSTRING	splácení dluhu klienta		
00295043-45244782-20170727-20220731-2000000		2022	2000000	2000000.00 			0,80			FIXED	FIXED_NOSTRING	financování projektu		
00295205-45244782-20151214-20230930-8000000		2022 + 2023	8000000	7942500.00 	7942500.00 		0,80	0,80		FIXED	FIXED_NOSTRING	Financování splácení podílu obce na dluhu svazku obcí Čistá voda-Radešínská Svratka, Řečice	"Financování projektu ""Kanalizace a ČOV"	
00295205-45244782-20200302-20321231-15000000		2022 + 2023 + 2024	15000000	14541015.78 	14541015.78 	14541015.78 	2,05	2,05	2,05	FIXED	FIXED_NOSTRING	"Financování projektu ""Obyný soubor 14 RD Za Cihelnou"""	"Financování projektu ""Obytný soubor 14 RD Za cihelnou""-inženýrské sítě"	"Financování projektu ""Obytný soubor 14  RD Za Cihelnou""-inženýrské sítě"
00295248-00001350-20171130-20271220-2235000		2022	2235000	2234975.00 			0,6			FIXED	FIXED_NOSTRING	Koupě nemovitostí		
00295248-00001350-20180822-20260921-7000000		2022 + 2023 + 2024	7000000	7000000.00 	7000000.00 	7000000.00 	1,98	1,98	1,98	FIXED	FIXED_NOSTRING	Difinancování projektu Stavební úpravy ZŠ a MŠ Radostín nad Oslavou a vybavení učeben	Difinancování projektu Stavební úpravy ZŠ a MŠ Radostín nad Oslavou a vybavení učeben	Difinancování projektu Stavební úpravy ZŠ a MŠ Radostín nad Oslavou a vybavení učeben
00295248-00001350-20210826-20231229-8250000		2022	8250000	8032891.66 			0,25			FIXED	FIXED_NOSTRING	Předfinancování dotace z OPŽP na projekt Výstavba sběrného dvora Radostín nad Oslavou		
00295248-49241494-20221104-20240302-1522400		2023	1522400		1522400.00 			10,95		FIXED	FIXED_NOSTRING		Nový kolový nakladač Schaffer vč. příslušenství10	
00295329-49241494-20210504-20231130-436000		2022 + 2023	436000	436000.00 	436000.00 		0,75	0,75		FIXED	FIXED_NOSTRING	nový traktorový návěs včetně příslušenství	nový traktorový návěs včetně příslušenství	
00295353-45244782-20151214-20230930-8000000		2022 + 2023	8000000	7942500.00 	7942500.00 		0,80	0,80		FIXED	FIXED_NOSTRING	Financování splacení podílu na dluhu Svazku DSO Čistá voda	Financování splacení podílu na dluhu Svazku DSO Čistá voda	
00295353-45244782-20160829-20310831-10000000		2022 + 2023 + 2024	10000000	10000000.00 	10000000.00 	10000000.00 	0,53	2,18	2,18	VARIABLE	FIXED_NOSTRING	Bytový dům Na Podkově v obci Řečice	Bytový dům Na Podkově v obci Řečice	bytový dům
00295400-45317054-20160428-20260331-9000000		2022 + 2023 + 2024	9000000	9000000.00 	9000000.00 	9000000.00 	0,64%	0,64%	0,64%	FIXED	FIXED_NOSTRING	Vodovod,kanalizace a ČOV Sklené n.Osl.	Vodovod,kanalizace a ČOV Sklené n.Osl.	Vodovod,kanalizace a ČOV Sklené n.Osl.
00295451-00001350-20130613-20230522-7200000		2022	7200000	7200000.00 			1,35			FIXED	FIXED_NOSTRING	Rokonstrukce kanalizace al ČOV, nákup nemovitosti č.p.69 a zateplení hasičské zbrojnice		
00295451-45244782-20200723-20271231-6880004		2022 + 2023 + 2024	6880004	6880004.34 	6880004.34 	6880004.34 	0,82	0,82	0,82	FIXED	FIXED_NOSTRING	Rekontrukce vodovodu, kanalizace a elektroinstalace ZŠ a MŠ Sněžné	Rekonstrukce vodovodu,kanalizace a elektroinstalace ZŠ a MŠ Sněžné	Rekonstrukce vodovodu
00295451-45317054-20200630-20320630-7637558		2022 + 2023 + 2024	7637558	7637558.00 	7637558.00 	7637558.00 	0,96	0,96	0,96	FIXED	FIXED_NOSTRING	Přestavba a dostavba souboru staveb Brownfieldu Sněžné p.č.74, 75/1, k.ú.Sněžné	Přestavba a dostavba souboru staveb brownfieldu Sněžné p.č. 74, 75/1 kú Sněžné	Přestavba a dostavba úřadu městyse Sněžné
00295451-49241494-20230921-20240920-1640000		2023	1640000		1640000.00 			4,00		FIXED	FIXED_NOSTRING		nový kolový traktor, nakladač a štěpkovač lesního klestu vč. příslušenství	
00295493-45317054-20140519-20251225-6600000		2022 + 2023 + 2024	6600000	6600000.00 	6600000.00 	6600000.00 	1,17	1,17	1,17	FIXED	FIXED_NOSTRING	Kanalizace a ČOV	Kanalizace a ČOV	Kanalizace a ČOV
00295531-45244782-20130311-20281231-30000000		2022 + 2023 + 2024	30000000	29999900.76 	29999900.76 	29999900.76 	8,05	7,82	4,88	VARIABLE	FIXED_NOSTRING	Kanalizace II. etapa	Kanalizace II. etapa	Kanalizace II. etapa
00295531-45244782-20160427-20310430-8000000		2022 + 2023 + 2024	8000000	8000000.00 	8000000.00 	8000000.00 	1,45	1,45	1,45	FIXED	FIXED_NOSTRING	inženýrské sítě	inženýrské sítě	inženýrské sítě
00295540-00020729-20230417-20351231-6845347		2023 + 2024	6845347		5025480.68 	5282627.61 		1%	1%	FIXED	FIXED_NOSTRING		Stavba vodovodu-1. etapa	Stavba vodovodu-1. etapa
00295540-45317054-20221010-20431220-20000000		2022 + 2023 + 2024	20000000	0.00 	10005243.83 	16126428.27 	pohyblivá	pohyblivá	pohyblivá	FIXED	VARIABLE_STRING	Rekonstrukce budovy ZŠ a MŠ Škrdlovice	Rekonstrukce budovy ZŠ a MŠ Škrdlovice	Rekonstrukce budovy ZŠ a MŠ Škrdlovice
00295558-00020729-20180921-20291231-2870640		2022 + 2023 + 2024	2870640	2870640.78 	2870640.78 	2870640.78 	0,45	0,45	0,45	FIXED	FIXED_NOSTRING	Snížení energetické náročnosti KD	Snížení energetické náročnosti KD	Snížení energetické náročnosti KD
00295647-45244782-20171127-20271231-40000000		2022 + 2023 + 2024	40000000	40000000.00 	40000000.00 	40000000.00 	7,12	1MPribor+0,03	1MPribor+0,03	VARIABLE	VARIABLE_STRING	Revitalizace ZŠ Tišnovská 115 Velká Bíteš	Revitalizace ZŠ Tišnovská 115 Velká Bíteš	Revitalizace ZŠ Tišnovská 115 Velká Bíteš
00295647-45317054-20140730-20241231-20000000		2022 + 2023	20000000	17062200.00 	17062200.00 		2,51	2,51		FIXED	FIXED_NOSTRING	Výkup pozemků v lokal.Babinec pro plán.výstavbu RD a zřízení inž.sítí	Výkup pozemků v lokal.Babinec pro plán.výstavbu RD a zřízení inž.sítí	
00295647-45317054-20150623-20231231-20000000		2022 + 2023	20000000	20000000.00 	20000000.00 		2,51	2,51		FIXED	FIXED_NOSTRING	Zateplení budov ZŠ a okružní křižovatka	Zateplení budov ZŠ a okružní křižovatka	
00295647-45317054-20160624-20221231-30000000		2022	30000000	29959508.20 			2,35			FIXED	FIXED_NOSTRING	Vybudování inžen.sítí a infrastruktury v lok.Babinec I.,II.etapa		
00295647-45317054-20171127-20230930-20000000		2022 + 2023	20000000	20000000.00 	20000000.00 		2,26	2,26		FIXED	FIXED_NOSTRING	Inženýrské sítě na Babinci 2.etapa	Inženýrské sítě na Babinci 2.etapa	
00295647-45317054-20190726-20281231-35000000		2022 + 2023 + 2024	35000000	35000000.00 	35000000.00 	35000000.00 	1,67	1,67	1.67	FIXED	FIXED_NOSTRING	Dofin.Revitalizace ZŠ Tišnovská 115 V.Bíteš vč.předprostoru	Dofin.Revitalizace ZŠ Tišnovská 115 V.Bíteš vč.předprostoru	Dofin.Revitalizace ZŠ Tišnovská 115 V.Bíteš vč.předprostoru
00295647-45317054-20210211-20301231-60000000		2022 + 2023 + 2024	60000000	60000000.00 	60000000.00 	60000000.00 	1,06	1,06	1.06	FIXED	FIXED_NOSTRING	Zkapacitnění obj.MŠ V.Bíteš,Mas.nám.86 a nov.14BD inž.sítě a infr.	Zkapacitnění obj.MŠ V.Bíteš,Mas.nám.86 a nov.14BD inž.sítě a infr.	Zkapacitnění obj.MŠ V.Bíteš,Mas.nám.86 a nov.14BD inž.sítě a infr.
00295647-45317054-20220919-20261231-15000000		2022 + 2023 + 2024	15000000	0.00 	15000000.00 	15000000.00 	5,70	5,70	5.70	FIXED	FIXED_NOSTRING	Přístavba sociálního zařízení a stavební úpravy KD V.Bíteš	Přístavba sociálního zařízení a stavební úpravy KD V.Bíteš	Přístavba sociálního zařízení a stavební úpravy KD V.Bíteš
