ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00296317-45317054-20150929-20300630-1069860	0baff4e5-92295b18	2023 + 2024	1069860		1069860.00 	1069860.00 		7,35	4.05	VARIABLE	FIXED_NOSTRING		refinancování úvěru na zateplení Divadelní 357/4,356/6,358/8 (ORG 2619/2753), (6M PRIBOR+0,26% p.a.)	refinancování úvěru na zateplení Divadelní 357/4,356/6,358/8 (ORG 2619/2753), (6M PRIBOR+0,26% p.a.)
00296317-45317054-20150929-20300630-1069860	0baff4e5-e208f321	2022	1069860	1069860.00 			7,47			FIXED	FIXED_NOSTRING	refinancování úvěru na zateplení Divadelní 357/4,356/6,358/8 (ORG 2619/2753)		
00296317-45317054-20150929-20300630-1069860	0baff4e5-f3e2d92b	2023 + 2024	1069860		1069860.00 	1069860.00 		7,35	4.05	VARIABLE	FIXED_NOSTRING		refinancování úvěru na zateplení 1. máje 859-860/5 (ORG 2614/2750), (6M PRIBOR+0,26% p.a.)	refinancování úvěru na zateplení 1. máje 859-860/5 (ORG 2614/2750), (6M PRIBOR+0,26% p.a.)
00296317-45317054-20150929-20300630-1109740	0baff4e5-4280fb05	2023 + 2024	1109740		1109740.00 	1109740.00 		7,35	4.05	VARIABLE	FIXED_NOSTRING		refinancování úvěru na zateplení 1. máje 886/1,887/3 (ORG 2615/2751), (6M PRIBOR+0,26% p.a.)	refinancování úvěru na zateplení 1. máje 886/1,887/3 (ORG 2615/2751), (6M PRIBOR+0,26% p.a.)
00296317-45317054-20150929-20300630-1109740	0baff4e5-4bb1a012	2022	1109740	1109740.00 			7,47			FIXED	FIXED_NOSTRING	refinancování úvěru na zateplení 1. máje 886/1,887/3 (ORG 2615/2751)		
00296317-45317054-20150929-20300630-1109740	0baff4e5-7989aa45	2023 + 2024	1109740		1109740.00 	1109740.00 		7,35	4.05	VARIABLE	FIXED_NOSTRING		refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754), (6M PRIBOR+0,26% p	refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754), (6M PRIBOR+0,26% p
00296317-45317054-20150929-20300630-1109740	0baff4e5-cb1dd39f	2022	1109740	1109740.00 			7,47			FIXED	FIXED_NOSTRING	refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754)		
00296317-45317054-20150929-20300630-1268340	0baff4e5-4a7f4b78	2022	1268340	1268340.00 			7,47			FIXED	FIXED_NOSTRING	refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758)		
00296317-45317054-20150929-20300630-1268340	0baff4e5-5a2f6e8f	2022	1268340	1268340.00 			7,47			FIXED	FIXED_NOSTRING	refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757)		
00296317-45317054-20150929-20300630-1268340	0baff4e5-87a4cf7c	2023 + 2024	1268340		1268340.00 	1268340.00 		7,35	4.05	VARIABLE	FIXED_NOSTRING		refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758), (6M PRIBOR+0,26% p.a.)	refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758), (6M PRIBOR+0,26% p.a.)
00296317-45317054-20150929-20300630-1268340	0baff4e5-c152a8f0	2023 + 2024	1268340		1268340.00 	1268340.00 		7,35	4.05	VARIABLE	FIXED_NOSTRING		refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757), (6M PRIBOR+0,26% p.a.)	refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757), (6M PRIBOR+0,26% p.a.)
00296635-00296635-20230131-20230131-0	8be47854-e821ba1e	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	NIC		
00296635-00296635-20230131-20230131-0	8be47854-e821ba1e	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	nic		
00297046-00000111-20230214-20230214-0	b0a0b448-ade922d4	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	Nemáme		
00297046-00000111-20230214-20230214-0	b0a0b448-ade922d4	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	Nemáme		
00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		Nemáme	nemáme
00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		Nemáme	nemáme
00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		Nemáme	nemáme
00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		Nemáme	nemáme
00297054-25722328-20201209-20241208-408900	f06831d0-a10b9b32	2022 + 2023 + 2024	408900	408900.04 	408900.04 	408900.04 	2,67	2,67	2,67	FIXED	FIXED_NOSTRING	vozidlo Dacia Duster - kanalizace	vozidlo Dacia Duster - kanalizace	vozidlo Dacia Duster - kanalizace
00297054-25722328-20201209-20241208-408900	f06831d0-a515f1b0	2022 + 2023 + 2024	408900	408900.04 	408900.04 	408900.04 	2,67	2,67	2,67	FIXED	FIXED_NOSTRING	vozidlo Dacia Duster - hala	vozidlo Dacia Duster - hala	vozidlo Dacia Duster - hala
00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00297585-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0000		
00297585-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0000		
00297585-00000000-20231231-20231231-0	a3d2de76-4a7d1ed4	2023	0		0.00 			0		FIXED	FIXED_NOSTRING		0000	
00297585-00000000-20231231-20231231-0	a3d2de76-4a7d1ed4	2023	0		0.00 			0		FIXED	FIXED_NOSTRING		0000	
00297585-00000000-20241231-20241231-0	a3d2de76-4a7d1ed4	2024	0			0.00 			0	FIXED	FIXED_NOSTRING			0000
00297585-00000000-20241231-20241231-0	a3d2de76-4a7d1ed4	2024	0			0.00 			0	FIXED	FIXED_NOSTRING			0000
00297658-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00297658-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		0	0
00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		0	0
00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		0	0
00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	2023 + 2024	0		0.00 	0.00 		0	0	FIXED	FIXED_NOSTRING		0	0
00298654-25083325-20120426-20331231-9000000	a3667e91-82816bbe	2022	9000000	9000000.00 			6M PRIBOR + přirážka 0,45% p.a.			FIXED	VARIABLE_STRING	investiční úvěr-VODOVOD Bělkovice-Lašťany		
00298654-25083325-20120426-20331231-9000000	a3667e91-8eb55e42	2022	9000000	9000000.00 			6M PRIBOR + přirážka 0,45%p.a.			FIXED	VARIABLE_STRING	investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa		
00298654-45244782-20120426-20331231-9000000	1e97a56a-82816bbe	2023 + 2024	9000000		9000000.00 	9000000.00 		6M PRIBOR + přirážka 0,45%p.a.	6 M PRIBOR+přirážka 0,45% p.a.	VARIABLE	VARIABLE_STRING		investiční úvěr-VODOVOD Bělkovice-Lašťany	investiční úvěr-VODOVOD Bělkovice-Lašťany
00298654-45244782-20120426-20331231-9000000	1e97a56a-8eb55e42	2023 + 2024	9000000		9000000.00 	9000000.00 		6M PRIBOR + přirážka 0,45 % p.a.	6 M PRIBOR+přirážka 0,45% p.a.	VARIABLE	VARIABLE_STRING		investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa	investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa
00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
00300845-00000111-20230125-20230125-0	b0a0b448-19cbe994	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	nemáme NFV		
00300845-00000111-20230125-20230125-0	b0a0b448-587dd522	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	nemáme úvěr		
00300845-00000111-20230125-20230125-0	b0a0b448-e5e0f443	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	nemáme zapůjčku		
00562424-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4	2022	0	0.00 			0,00			FIXED	FIXED_NOSTRING	0000		
00562424-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4	2022	0	0.00 			0,00			FIXED	FIXED_NOSTRING	0000		
00562424-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4	2022	0	0.00 			0,00			FIXED	FIXED_NOSTRING	0000		
00579874-45317054-20210610-20280531-5000000	0baff4e5-4aaad9fa	2022	5000000	0.00 			1MPRIBOR + 0,49% p.a. z jistina úvěru			FIXED	VARIABLE_STRING	kanalizace a ČOV		
00579874-45317054-20210610-20280531-5000000	0baff4e5-4aaad9fa	2022	5000000	5000000.00 			2,39			FIXED	FIXED_NOSTRING	kanalizace a ČOV		
00579874-45317054-20210610-20280531-5000000		2023 + 2024	5000000		5000000.00 	5000000.00 		2,39	2,39	FIXED	FIXED_NOSTRING		kanalizace a ČOV	Splašková kanalizace a  ČOV Knyk
00665169-45317054-20120328-20320131-4000000	0baff4e5-8c118f2a	2022 + 2023 + 2024	4000000	4000000.00 	4000000.00 	4000000.00 	0	0	1,32	VARIABLE	FIXED_NOSTRING	výstavba kanalizace	výstavba kanalizace	výstavba kanalizace
00665169-45317054-20120328-20320131-4000000	0baff4e5-9f1c4a22	2022 + 2023 + 2024	4000000	4000000.00 	4000000.00 	4000000.00 	0	0	1,32	VARIABLE	FIXED_NOSTRING	výstavba vodovodu	výstavba vodovodu	výstavba vodovodu
69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084	2022	0	0.00 			0			FIXED	FIXED_NOSTRING	0		
69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084	2024	0			0.00 			0	FIXED	FIXED_NOSTRING			0
69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084	2024	0			0.00 			0	FIXED	FIXED_NOSTRING			0
69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084	2024	0			0.00 			0	FIXED	FIXED_NOSTRING			0
