VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2024012	1000016322	299898	1350	Československá obchodní banka, a. s.	Ú	Lyžařský areál Horní Guntramovice - technologie zasněžování	CZK	3M PRIBOR+0,14	20220610	20381231	1	13500000	13500000	1500002	1927356.48	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016322	299898	45805369	ŠkoFIN s.r.o.	Ú	Vozidlo Škoda Karoq	CZK	4,59	20190204	20230418	1	395715.59	395715.59	395715.59	0	ŠkoFIN s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.
80	100	2024012	1000016323	561193	45317054	Komerční banka, a.s.	Ú	odkanalizování a ČOV Neplachovice	CZK	1,71	20180331	20420731	1	15400000	15400000	1488400	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016323	561193	45317054	Komerční banka, a.s.	Ú	refinancování nesplaceného úvěru	CZK	0,43	20160617	20251231	1	7633803	7633803	6830328	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016323	561193	20729	Státní fond životního prostředí České republiky	Z	odkanalizování obce a ČOV	CZK	0,45	20180323	20410331	1	24689268.96	24689268.93	4937853.76	374968.26	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2024012	1000016324	300560	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování obce a výstavba ČOV	CZK	2,66	20190201	20381231	2	80000000	80000000	21052640	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016334	535117	45244782	Česká spořitelna, a.s.	Ú	financování projektů	CZK	2,52	20211006	20360820	1	15000000	15000000	1296000	375884.51	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016334	535117	25722328	RCI Financial Services, s.r.o.	Ú	financování vozidla Dacia Duster	CZK	25,82	20201208	20251207	4	279000	279000	212250.48	9449.07	RCI Financial Services, s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.
80	100	2024012	1000016337	635405	45244782	Česká spořitelna, a.s.	Ú	obnova veřejného prostranství	CZK	2,86	20190612	20240920	1	650000	650000	650000	2055.85	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016337	635405	45244782	Česká spořitelna, a.s.	Ú	revitalizace požární nádrže	CZK	1MPRIBOR+marže 1,29	20211223	20270920	1	2300000	2284971.43	1800000	38617.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016337	635405	45244782	Česká spořitelna, a.s.	Ú	snížení energetické náročnosti budov	CZK	1MPRIBOR+marže 0,79	20230216	20290320	1	4600000	4600000	3012016.8	179823.92	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016338	70630089	299880	Městys Březová	NFV	pořízení Nic Nacků	CZK	0	20231004	20241231	1	84830.7	84830.7	84830.7	0	Městys Březová	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	299898	Město Budišov nad Budišovkou	NFV	pořízení Nic Nacků	CZK	0	20230927	20241231	1	330765.6	330765.6	330765.6	0	Město Budišov nad Budišovkou	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	299898	Město Budišov nad Budišovkou	NFV	pořízení myčky	CZK	0	20231215	20241231	1	200000	200000	200000	0	Město Budišov nad Budišovkou	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	300420	Obec Melč	NFV	pořízení Nic Nacků	CZK	0	20231004	20241231	1	73537.8	73537.8	73537.8	0	Obec Melč	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	300624	Obec Raduň	NFV	pořízení Nic Nacků	CZK	0	20231031	20241231	1	200146	200146	200146	0	Obec Raduň	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	300659	Obec Skřipov	NFV	pořízení Nic Nacků	CZK	0	20231027	20241231	1	111900.8	111900.8	111900.8	0	Obec Skřipov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	534919	Obec Nové Lublice	NFV	pořízení Nic Nacků	CZK	0	20231023	20241231	1	29106.6	29106.6	29106.6	0	Obec Nové Lublice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	635383	Obec Radkov	NFV	pořízení Nic Nacků	CZK	0	20231018	20241231	1	55950.4	55950.4	55950.4	0	Obec Radkov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	635391	Obec Moravice	NFV	pořízení Nic Nacků	CZK	0	20231002	20241231	1	111222	111222	111222	0	Obec Moravice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	635405	Obec Mikolajice	NFV	pořízení Nic Nacků	CZK	0	20231006	20241231	1	190149.1	190149.1	190149.1	0	Obec Mikolajice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	635529	Obec Staré Těchanovice	NFV	pořízení Nic Nacků	CZK	0	20231123	20241231	1	149338.2	149338.2	149338.2	0	Obec Staré Těchanovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	635537	Obec Kružberk	NFV	pořízení Nic Nacků	CZK	0	20231025	20241231	1	27975.2	27975.2	27975.2	0	Obec Kružberk	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	849707	Obec Čermná ve Slezsku	NFV	pořízení Nic Nacků	CZK	0	20231016	20241231	1	99661.7	99661.7	99661.7	0	Obec Čermná ve Slezsku	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	849740	Obec Větřkovice	NFV	pořízení Nic Nacků	CZK	0	20231024	20241231	1	56773.2	56773.2	56773.2	0	Obec Větřkovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016338	70630089	47812303	Obec Branka u Opavy	NFV	pořízení Nic Nacků	CZK	0	20231006	20241231	1	111900.8	111900.8	111900.8	0	Obec Branka u Opavy	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016341	299847	45317054	Komerční banka, a.s.	Ú	Výstavba Domu sociálních služeb sv. Kateřiny	CZK	1,2	20200828	20320731	1	45000000	45000000	10875000	1292150.42	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016342	534650	45317054	Komerční banka, a.s.	Ú	Hasičská zbrojnice v Bělé	CZK	4,79	20210104	20301231	1	7000000	6357467.26	2418206	340598.94	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016347	296341	45317054	Komerční banka, a.s.	Ú	Výstavba kanalizace	CZK	0,61	20230823	20430731	2	5000000	5000000	1066372	374758.38	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016347	296341	45317054	Komerční banka, a.s.	Ú	Výstavba kanalizace a ČOV	CZK	1,24	20210115	20401231	2	20000000	20000000	2222232	510816.92	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016374	635430	45244782	Česká spořitelna, a.s.	Ú	Překlenutí časového nesouladu mazi tvotbou a potřebou finančních zdrojů v roce 2024,2025	CZK	1-měsíční PRIBOR zvýšený o marži 1,41%	20241002	20250930	1	1000000	0	0	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016375	300535	45317054	Komerční banka, a.s.	Ú	Financování investičních projektů Statutárního města Opavy.	CZK	3M PRIBOR + 0,00%	20210128	20381231	1	200000000	200000000	13333336	32905135.55	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016375	300535	45317054	Komerční banka, a.s.	Ú	Financování investičních projektů Statutárního města Opavy.	CZK	3M PRIBOR +0,00 %	20170518	20301231	1	350000000	272555415.6	68144000	53822821.13	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016375	300535	1350	Československá obchodní banka, a. s.	Ú	Financování investičních projektu Statutárního města Opavy	CZK	O/N PRIBOR + 0,05 % p.a.	20230622	20251231	1	385400000	0	0	0	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016379	65888634	300691	Obec Stěbořice	Z	financování rozsáhlých opravy vodohodpodářského majetku svěřeného členskými obcemi  svazku	CZK	0	20220907	20241231	1	1000000	1000000	1000000	0	Obec Stěbořice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000016388	300292	45244782	Česká spořitelna, a.s.	Ú	Novostavba veřejné splaškové kanalizace a objektu ČOV	CZK	2,14 p.a.	20190628	20291231	1	62195700	62195700	32578700	5344990.66	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016389	534919	25672720	MONETA Money Bank, a.s.	Ú	rekonstrukce budovy	CZK	0	20230329	20330220	3	3000000	2656104.21	487179	322127.83	MONETA Money Bank, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016391	300420	45244782	Česká spořitelna, a.s.	Ú	financování Projektu zateplení MZŠ a MŠ Melč	CZK	1,87 %	20130906	20291220	1	5000000	3559079	3437544	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016391	300420	45244782	Česká spořitelna, a.s.	Ú	financování Projektu zateplení obecního úřadu a kulturního domu	CZK	1,6 %	20110916	20270820	1	5000000	5000000	4125000	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016391	300420	45244782	Česká spořitelna, a.s.	Ú	finančování Projektu energetické úspory bytového domu č.p.68	CZK	2,29 %	20180918	20260820	1	5000000	4982018.51	4143040	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45244782	Česká spořitelna, a.s.	Ú	investiční akce	CZK	0,76	20200929	20301231	10	1800000000	1800000000	771428571.4	37208105.16	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45244782	Česká spořitelna, a.s.	Ú	rekonstrukce BD	CZK	1,62	20180530	20280531	10	27000000	25359561.98	15435302.64	1789958.61	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	investiční projekty	CZK	1,52	20210128	20401231	10	57000000	57000000	7000000	2014428.79	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	koupě a rekonstrukce "Oblouk", rekonstrukce Dělnická 411	CZK	1,79	20190927	20390830	10	300000000	300000000	50000000	17765727.73	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	nákup nemovitosti	CZK	165	20151215	20351220	10	55000000	55000000	24750000	647258.62	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
