VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2021012	1000005617	258105	45244782	Česká spořitelna, a.s.	Ú	Čistou botou přes Touškov	CZK	20111125	20240920	bez ručení	30000000	19978272.9	19978272.9	536561.8	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005665	49745221	45244782	Česká spořitelna, a.s.	Ú	intenzifikace ČOV	CZK	20160916	20260915	zástava	6170000	6170000	3244500	205283.2	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005675	257753	45244782	Česká spořitelna, a.s.	Ú	Sloučení úvěrů	CZK	20140718	20261220	není sjednán	19980000	19980000	11739000	1564026.2	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005675	257753	45244782	Česká spořitelna, a.s.	Ú	Výstavba kanalizace	CZK	20170208	20371020	není sjednán	15000000	14870541	3000000	607298.2	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005675	257753	45244782	Česká spořitelna, a.s.	Ú	Výstavba kanalizace	CZK	20200122	20371220	není sjednán	16000000	9358964.88	942000	208308.01	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005675	257753	45244782	Česká spořitelna, a.s.	Ú	Výstavba vodovodního přivaděče	CZK	20150925	20291120	není sjednán	5000000	5000000	2160000	214616.6	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005676	257664	45317054	Komerční banka, a.s.	Ú	Dofinancování investiční akce: Komunikace na Krkavci v Dobříči	CZK	20150430	20250320	směnkou	1306000	1306000	879004	158566.39	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005677	257681	45317054	Komerční banka, a.s.	Ú	spolufinancování investice II/204 Dolní Bělá průtah	CZK	20180911	20330930	bez zajištění	10000000	10000000	1896510	377551.96	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005681	257893	45244782	Česká spořitelna, a.s.	Ú	přestavba KD na bytový dům	CZK	20190305	20241220	bez ručení	20000000	20000000	8000016	665853.32	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005682	257982	45244782	Česká spořitelna, a.s.	Ú	financování Projektu	CZK	20210224	20221231	BEZ ZAJIŠTĚNÍ	2000000	2000000	0	25601.35	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005682	257982	45244782	Česká spořitelna, a.s.	Ú	výstavba 9BJ-stavební úpravy objektů čp.5 a 57 na pozemku parc.č.st.27/1 a 27/2 k.ú.Krsy	CZK	20080610	20350630	zástavním právem k nemovitosti	5000000	5000000	1790067.25	1983179.4	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005683	258130	45317054	Komerční banka, a.s.	Ú	II/205 Modernizace aglomeračního okruhu	CZK	20140716	20290620	0	4000000	3961160.49	1818990.06	388227.55	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005684	258202	45317054	Komerční banka, a.s.	Ú	oprava budovy čp. 200	CZK	20140401	20250125	bianco směnka	1000000	1000000	778800	6231.71	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005686	572888	45244782	Česká spořitelna, a.s.	Ú	zásobování pitnou vodou	CZK	20120302	20321220	zástava nemovitostí	4580000	4543673	1849464	687148.2	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005686	572888	45244782	Česká spořitelna, a.s.	Ú	zásobování pitnou vodou	CZK	20170424	20271220	bez zajištění	1500000	747408	600000	40599.4	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005688	572900	45244782	Česká spořitelna, a.s.	Ú	splacení dluhu a financování projektů	CZK	20190730	20341220	bez ručení	6000000	6000000	800400	339473.94	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005689	572969	45244782	Česká spořitelna, a.s.	Ú	Rybnice- výměna osvětlovacích těles a optimalizace řídícího systému VO + refinancování úvěrů	CZK	20170818	20280320	žádné zajišťovací prostředky	10500000	10500000	4258500	706347.5	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005691	18246061	45317054	Komerční banka, a.s.	Ú	Pořízení lesnické techniky pro obec	CZK	20211216	20261231	nesjednáno	800000	800000	0	351.11	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	45244782	Česká spořitelna, a.s.	Ú	Kontokorentní úvěr	CZK	20211124	20221114	bez ručení	600000	0	0	158.34	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	45244782	Česká spořitelna, a.s.	Ú	Kotelna BF-výstavba	CZK	20100616	20251220	bez ručení	4000000	4000000	2794800	984312	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	45244782	Česká spořitelna, a.s.	Ú	Obnova rybníka a vytvoření tůní na pozemku č. 2750	CZK	20201008	20261215	bez ručení	5342000	3881598.31	3765253	21589.71	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce knihovny	CZK	20210209	20221231	bez ručení	1150000	1150000	0	4789.1	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	45244782	Česká spořitelna, a.s.	Ú	Zateplení a výměna oken bytových domů města Úterý	CZK	20160510	20241220	bez ručení	2500000	2500000	1560000	136314.7	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	45244782	Česká spořitelna, a.s.	Ú	Zateplení budovy základní školy města Úterý	CZK	20170607	20271220	bez ručení	6540788	6419191.45	3935835.04	204479	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	20729	Státní fond životního prostředí České republiky	NFV	Kotelna BF-výstavba	CZK	20101203	20211220	zástavní právo k nemovitostem	1162233.8	1162233.8	1162233.8	0	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2021012	1000005694	258466	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	Lesní vyvážecí vlek BMF vč. příslušenství	CZK	20191127	20230320	bez ručení	591900	591900	457374	21874.32	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000005694	258466	63998980	ČSOB Leasing, a.s.	Ú	Sekačka Kubota G23HD	CZK	20190514	20210514	bez ručení	387200	387200	387200	8832.4	ČSOB Leasing, a.s.	121	Akciová společnost	Akciová společnost	a.s.
