VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2023012	1000009238	273317	45317054	Komerční banka, a.s.	Ú	rekonstrukce místních komunikací	CZK	2,29	20190329	20370325	1	3500000	3500000	887328	316688.34	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009239	273325	45244782	Česká spořitelna, a.s.	Ú	kanalizace	CZK	0,62	20161124	20311031	1	8000000	6618632.88	3550350	96795.1	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009242	273392	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	pořízení malotraktoru s příslušenstvím	CZK	8,43	20230815	20250320	4	1587000	1587000	793500	0	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009248	273457	45317054	Komerční banka, a.s.	Ú	rekonstrukce budovy Obecního domu	CZK	5,97	20220728	20300525	1	4000000	3996444.77	459800	203685.58	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009248	273457	45317054	Komerční banka, a.s.	Ú	rekonstrukce budovy mateřské školy	CZK	0,87	20200904	20260725	1	2000000	1966156.79	1101620	43203.75	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009251	273511	45317054	Komerční banka, a.s.	Ú	financování akce Dolní Ředice-zvýšení kapacity ZŠ s přístavbou tělocvičny	CZK	0,95% p.a.	20200629	20300331	2	15500000	15079417	3757680	299056.91	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009251	273511	45317054	Komerční banka, a.s.	Ú	financování akce Zateplení obecního hostince v Dolních Ředicích	CZK	4,97% p.a.	20150529	20260131	2	15000000	14999939	12954326.09	431955.96	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009252	273546	1350	Československá obchodní banka, a. s.	Ú	Dostavba ZŠ a pořízení vybavení	CZK	1,3	20190626	20351025	10	26260708.93	26260708.93	21400235.03	1282893.13	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009252	273546	1350	Československá obchodní banka, a. s.	Ú	Financování a refinancování hřiště kabiny	CZK	2	20140423	20290423	3	2300000	2300000	629964	840890.53	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009252	273546	1350	Československá obchodní banka, a. s.	Ú	Kontokorent - provozní financování	CZK	1	20150803	20401231	1	2000000	0	0	177546.8	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009252	273546	1350	Československá obchodní banka, a. s.	Ú	Nákup nemovitosti - pozemku	CZK	3,22	20190626	20340523	3	1768104	1768104	435600.66	225261.73	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009252	273546	1350	Československá obchodní banka, a. s.	Ú	Nákup nemovitosti v k.ú. Dříteč	CZK	1,3	20181024	20330926	3	4351073	4351073	1282200	837036.51	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009252	273546	1350	Československá obchodní banka, a. s.	Ú	Refinancování úvěru poskytnutého KB	CZK	1,8	20140423	20230725	3	5779376	5779376	5779376	887118.55	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009256	273643	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování SZ části Choltic, Rekonstrukce místních komunikací	CZK	1,15	20150512	20260531	1	11000000	11000000	7157645	774194	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009257	273651	45317054	Komerční banka, a.s.	Ú	pořízení nemovitosti	CZK	1M PRIBOR  +0,99%	20140831	20240625	1	2000000	2000000	1904000	198895.95	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009258	273678	1350	Československá obchodní banka, a. s.	Ú	Víceúčelové hřiště, Rekonstrukce chodníku	CZK	1	20200429	20290326	1	5000000	4910308.72	1850000	280545.56	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009258	273678	1350	Československá obchodní banka, a. s.	Ú	Výstavba chodníku podél III/3053	CZK	6,21	20230601	20280525	1	3000000	3000000	306000	91129.16	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009260	273694	45317054	Komerční banka, a.s.	Ú	splašková kanalizace	CZK	2,77	20211022	20431225	1	22000000	22000000	1047720	616362.22	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009268	273821	1350	Československá obchodní banka, a. s.	Ú	Splašková kanalizace Kostěnice	CZK	0,71	20200831	20400827	1	20000000	20000000	1651410	337684.9	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009269	273848	45244782	Česká spořitelna, a.s.	Ú	Výstavba nových a oprava stávajících komunikací v obci Labské Chrčice	CZK	0,85	20210407	20380331	3	9000000	9000000	3233900	1180029.55	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
